16807	56049
19673	60458
96130	92872
61144	84478
89923	95309
63640	97365
62092	3042
17587	63303
2327	45329
82840	80212
32303	68369
75309	68357
41560	50933
65899	69078
14216	3335
83097	46226
3912	41267
77410	58433
40179	7949
57379	72421
79967	58672
29393	1736
34285	34145
34828	66891
14594	21557
57401	77953
50308	21944
34068	93090
924	22196
48730	12903
97322	62666
43749	62024
39401	45253
46577	82608
5828	64533
60298	4581
84635	14413
62265	13814
79863	34536
11425	36869
60115	10494
78829	97701
47317	49395
76505	101604
15451	72698
46188	3523
33105	13282
56352	53166
98316	77537
101638	46744
8301	96097
28671	82228
75937	48158
68377	19197
23094	90704
37609	85431
47745	12175
4035	87098
58142	73999
56768	26412
21060	54357
92794	36808
65195	101968
13513	30130
67806	29362
55542	67765
77282	88652
12367	19421
33695	101512
20071	701
48590	38431
23538	98657
41216	46990
18040	80279
48535	91406
43572	64098
5895	21719
15454	74823
35489	79960
62505	67726
63323	51106
52213	47970
7238	47494
30620	40644
24366	90934
22826	40194
2163	56338
31844	73190
102150	45959
93423	49747
5385	43217
81672	64339
847	8785
8696	48485
52623	55220
8944	67968
17335	51915
19225	100334
63642	50411
43479	16152
100044	34895
96418	54396
42892	41015
64991	48833
17069	82597
63953	93747
28625	94010
80062	11011
33008	12577
93161	40625
42935	80268
59595	21976
56367	90239
25074	62131
98956	21101
89672	4560
43294	13384
48155	44589
3407	80815
39793	19569
49280	73055
87255	69106
94163	89502
101876	32708
30449	82331
49044	44438
37608	32797
65451	30849
96403	42931
66931	102014
14619	27175
85209	16580
35129	8023
82454	41060
99137	21945
24117	47125
84200	86256
85564	66197
5848	86504
63950	24350
81176	32612
85754	97197
19304	92381
68348	69465
9778	46099
87809	88329
55353	22283
95247	50207
38373	101322
33905	54376
27653	31224
88630	101166
66200	52444
71370	26285
60616	85098
27355	61933
37157	2176
61978	77466
89757	85711
678	24614
42819	70937
90333	15791
12520	47162
68233	76997
31	54588
33389	21273
18077	46904
27358	42000
20454	30560
5315	13947
34280	73330
2755	2546
61107	92438
53600	66526
61835	457
33113	64514
4793	18960
47154	101218
100557	38585
49729	7415
40563	54902
60917	25043
32219	67767
29347	19669
37795	45703
74873	82303
87748	13185
15258	83459
19806	99530
26224	51532
97773	46003
80497	66320
90350	21631
40480	100203
5900	61320
54533	102058
52203	101876
89750	28734
96380	100679
26632	20174
17549	24142
35849	52771
55910	8679
34583	52370
60840	73123
3250	80571
33229	39918
10546	28699
32830	19221
43576	524
21844	28958
38896	97171
57864	26760
66198	59551
58740	86103
5551	24801
35205	44680
82818	77674
67649	64413
82520	75825
22812	8983
64388	33717
33608	15950
76524	43995
70457	14911
54890	266
36810	43793
26553	27165
56560	94342
93803	99152
87307	64141
35310	30800
19999	727
52971	63387
68814	86025
97441	91517
50548	45842
48715	79174
29445	12973
84220	53511
88439	56254
50905	12929
6253	27789
3966	13956
58504	50260
84298	96792
85720	58116
63580	70067
45352	71739
63498	48501
26411	20616
43291	88671
66128	77071
102061	37045
5520	1040
29158	27453
27	27750
50511	33163
56794	76333
8127	5427
72395	90731
86242	63516
101006	97715
25324	82601
84697	59861
32703	8724
31308	48136
40681	86615
3710	30416
10705	19173
10981	90720
13191	31569
64265	47027
15936	88728
75525	57984
74567	69949
18876	44846
41576	45466
23867	57320
9784	41191
44410	14858
53811	86344
37118	96918
56334	20425
18367	92289
83418	60214
42225	35718
82828	94629
58834	77127
21640	72954
94540	54796
92535	102283
56048	465
31011	101652
39464	78676
6037	43875
51045	31510
4815	35392
63110	75547
95037	3699
88447	66515
25693	53179
61529	59164
69979	55901
101925	31889
59758	58033
16600	91489
74870	93617
84046	13838
61543	9938
41936	17721
24919	13296
29647	52588
20359	51587
28235	78835
3112	83284
73989	72584
71734	57867
94119	9415
85445	99576
16261	79425
24419	68431
56503	32698
82398	63839
404	34303
63079	27165
40991	9707
28124	56765
47521	88854
17106	101850
35703	82832
69432	79341
14454	19577
71817	46700
21289	93465
23947	48422
59479	65717
82316	39248
99562	52229
28239	62308
20303	21057
17961	10952
97466	71821
79757	26196
97355	28530
18294	21555
64221	21312
50293	85827
84632	3844
31591	85398
9952	25656
54370	97903
89839	914
25399	47566
83035	90721
49243	47552
36486	25719
750	75610
44223	71869
54405	93943
66111	66431
51592	45416
17099	6171
70239	99770
79436	22291
98057	72433
5728	20577
74410	17683
62776	77089
61691	100834
76711	9304
92626	34491
66790	10922
28164	33290
72084	25613
101441	102327
58579	64184
56937	94670
80361	45381
12565	91402
90532	45732
87054	34159
247	29977
90862	47810
6219	51750
14977	52941
19036	36320
72299	56912
17959	66356
84790	24152
67648	64614
55044	2918
81750	95701
64495	74221
47731	65301
9845	28561
56457	23510
14728	93205
4573	87737
100069	59896
76503	65021
53075	27318
62700	39689
53862	69654
10663	54643
85689	61250
72735	39015
15364	12494
49363	85358
36852	17892
16516	22714
75020	36460
2650	87368
25941	34247
83996	84787
1701	66634
22728	48171
67048	3075
26853	43471
11729	56693
6519	7071
26820	87364
17079	64230
16810	72080
19713	79342
63738	8382
444	22028
12793	65175
4180	56200
60796	58747
85770	14887
943	96733
26052	48661
31224	10400
84780	95578
22257	3823
43498	88614
86445	88862
9309	49810
9649	78818
78490	71055
71343	30555
4385	6534
52675	6921
67151	74826
44051	59259
50383	70314
1637	101079
50098	99700
91937	94285
42678	94284
62342	73715
74760	101467
34340	73107
90766	8728
19762	19963
17969	46090
77423	28678
72513	88961
67810	95640
26578	94000
42594	91307
45256	48151
83386	87831
